국가유산연계번호,문화재명(국문),국가유산종목,시대그룹,추정제작연도,문화재연령,재질,노출형태,위도,경도
1113700140000,영천 거조사 영산전,국보,고려후기,1350,676,기타,반실외,36.0200794751569,128.764535947917
1112506200001,영천 청제비,국보,신라,600,1426,석조,실외,35.9250902106172,128.940893555139
1123704650000,영천 신월리 삼층석탑,보물,통일신라,800,1226,석조,실외,35.9375009927072,128.898757611442
1123704860000,영천 은해사 백흥암 수미단,보물,조선,1650,376,기타,반실외,35.9965597,128.7680167
1123705130000,영천 선원동 철조여래좌상,보물,고려,1200,826,금속,반실외,36.0394867,128.9688734
1123705140000,영천 은해사 운부암 금동보살좌상,보물,조선,1650,376,금속,반실외,36.0037611914094,128.759188255119
1123705210000,영천 숭렬당,보물,조선후기,1750,276,목조,반실외,35.9664246532488,128.928982827552
1123706160000,영천향교 대성전,보물,조선초기,1500,526,목조,반실외,35.969993168861,128.928257605028
1123706520000,이형상 수고본,보물,기타,1900,126,기타,반실외,35.9732205043331,128.938550862057
1123706750000,영천 화남리 삼층석탑,보물,통일신라,800,1226,석조,실외,36.0841042659394,128.766209779325
1123706760000,영천 화남리 석조여래좌상,보물,고려,1200,826,석조,반실외,36.084253133147,128.766369042395
1123707900000,영천 은해사 백흥암 극락전,보물,조선초기,1500,526,기타,반실외,35.996623,128.767734
1123711090000,임고서원 전적,보물,기타,1900,126,목조,반실외,36.0169129150992,128.973358539267
1123711100000,정몽주 초상(1991),보물,조선후기,1750,276,목조,실내,36.0169129150992,128.973358539267
1123712700000,은해사 괘불탱,보물,조선후기,1750,276,회화,실내,36.0036716,128.7593287
1123712710000,수도사 노사나불 괘불탱,보물,조선후기,1750,276,회화,실내,36.0389433,128.7188708
1123716040000,영천 은해사 청동북 및 북걸이,보물,조선후기,1750,276,금속,실내,35.9918398,128.7896748
1123716120000,영천 봉림사 영산회상도 및 복장유물,보물,조선후기,1750,276,회화,반실외,36.1260079,128.8978297
1123718570000,영천 은해사 염불왕생첩경도,보물,기타,1900,126,회화,반실외,35.9902625232099,128.794310797335
1123721780000,영천 인종대왕 태실,보물,조선,1650,376,석조,실외,35.9970996685661,128.777040453987
1333705680900,제2로 직봉 - 영천 성산 봉수 유적,사적,조선,1650,376,석조,실외,35.9823198650259,128.835974772001
1333705681000,제2로 직봉 - 영천 성황당 봉수 유적,사적,조선,1650,376,석조,실외,35.9584018040058,128.896381796847
1333705681100,제2로 직봉 - 영천 여음동 봉수 유적,사적,조선,1650,376,석조,실외,36.0568770415649,128.761249526648
1363704040000,영천 자천리 오리장림,천연기념물,조선초기,1500,526,기타,반실외,36.1032808983322,128.913151062617
1483700240000,영천 매산고택과 산수정,국가민속문화유산,조선,1650,376,목조,반실외,36.073145,128.976705
1483701070000,영천 연정고택,국가민속문화유산,조선후기,1750,276,목조,반실외,36.0505602440212,128.977496950435
1483701190000,병와 이형상 유품,국가민속문화유산,조선,1650,376,기타,반실외,35.964665,128.9284714
1483701750000,영천 만취당 고택,국가민속문화유산,조선후기,1750,276,목조,반실외,35.906755,128.890803
2113700530000,생육신이경은선생부조묘,시도유형문화유산,기타,1900,126,기타,반실외,36.0897627844508,129.035269254884
2113700540000,생육신이경은선생제단,시도유형문화유산,기타,1900,126,기타,반실외,36.0897627844508,129.035269254884
2113700550000,용계서원,시도유형문화유산,기타,1900,126,목조,반실외,36.0897627844508,129.035269254884
2113700680000,박노계집판목,시도유형문화유산,기타,1900,126,기타,반실외,35.9732205043331,128.938550862057
2113700710000,강호정,시도유형문화유산,기타,1900,126,목조,반실외,36.0828332978932,129.01447311042
2113700720000,오회공종택,시도유형문화유산,기타,1900,126,목조,반실외,36.079234596553,129.015000338933
2113700730000,하천재<부비각>,시도유형문화유산,기타,1900,126,석조,실외,36.0837422341288,129.014676763092
2113700740000,사의당,시도유형문화유산,기타,1900,126,목조,반실외,36.0852399003611,129.014911793044
2113700750000,삼휴정,시도유형문화유산,기타,1900,126,목조,반실외,36.0801906893345,129.014621744441
2113700760000,오회당,시도유형문화유산,기타,1900,126,목조,반실외,36.079234596553,129.015000338933
2113700770000,동린각,시도유형문화유산,기타,1900,126,목조,반실외,36.0474336974774,129.002803304218
2113700780000,자양서당,시도유형문화유산,기타,1900,126,목조,반실외,36.0474336974774,129.002803304218
2113700900000,호수종택,시도유형문화유산,기타,1900,126,목조,반실외,35.9890817698978,128.915696656118
2113701370000,거동사대웅전,시도유형문화유산,기타,1900,126,목조,반실외,36.150290951616,129.026547557165
2113701440000,영천조양각,시도유형문화유산,기타,1900,126,목조,반실외,35.9670810960103,128.932958657557
2113701680000,신녕향교명륜당,시도유형문화유산,조선,1650,376,목조,반실외,36.0486006174285,128.791287177868
2113701790000,명고영정,시도유형문화유산,기타,1900,126,목조,실내,36.0063853,128.9183874
2113702690000,영천정각리삼층석탑,시도유형문화유산,고려,1200,826,석조,실외,36.1514183952337,128.992384691581
2113702700000,옥간정,시도유형문화유산,기타,1900,126,목조,반실외,36.114734500085,128.947874489834
2113702710000,모고헌,시도유형문화유산,기타,1900,126,기타,반실외,36.1154799007066,128.94644606266
2113702720000,포은정몽주유허비,시도유형문화유산,기타,1900,126,석조,실외,36.0062382638148,128.985525151367
2113702860000,영천보성리암각화,시도유형문화유산,청동기,-1000,3026,석조,실외,35.9940122244111,128.840932397046
2113702990000,사룡산금정암제석탱,시도유형문화유산,기타,1900,126,목조,반실외,36.1077859,129.0651361
2113703190000,은해사백흥암감로왕도,시도유형문화유산,조선후기,1750,276,회화,반실외,35.9965597,128.7680167
2113703320000,은해사중암암삼층석탑,시도유형문화유산,고려초기,1100,926,석조,실외,35.9949832057561,128.751966094578
2113703330000,금산당,시도유형문화유산,조선후기,1750,276,목조,반실외,35.9066003062393,128.890456366281
2113703420000,은해사극락보전후불탱화및삼장탱화,시도유형문화유산,조선후기,1750,276,회화,실내,35.9918398,128.7896748
2113704200000,영천 영지사 대웅전,시도유형문화유산,기타,1900,126,목조,반실외,35.8444632550913,128.951597525753
2113704250000,영천 죽림사 철조여래좌상,시도유형문화유산,기타,1900,126,금속,반실외,35.9732205043331,128.938550862057
2113704840000,영천 영지사 대웅전 후불탱화,시도유형문화유산,기타,1900,126,목조,실내,35.8444688586943,128.950924188378
2113704850000,영천 영지사 명부전 석조지장시왕상 일괄,시도유형문화유산,기타,1900,126,석조,반실외,35.9732205043331,128.938550862057
2113704900000,영천 조치우 옥비,시도유형문화유산,기타,1900,126,석조,실외,35.8782982567771,128.90751495987
2113705210000,민간조보,시도유형문화유산,조선,1650,376,기타,반실외,35.9732205043331,128.938550862057
2113705360000,영천 묘봉암 목우자수심결,시도유형문화유산,기타,1900,126,기타,반실외,35.9732205043331,128.938550862057
2113705370000,영천 임고서원 영조을묘모본 정몽주 초상 및 함,시도유형문화유산,기타,1900,126,목조,실내,35.9732205043331,128.938550862057
2113705380000,영천 은해사 기기암 신중도,시도유형문화유산,기타,1900,126,회화,반실외,35.9732205043331,128.938550862057
2113705790000,아비달마대비바사론 권제20,시도유형문화유산,조선,1650,376,석조,실외,35.9732205043331,128.938550862057
2113705800000,육경합부,시도유형문화유산,조선,1650,376,기타,반실외,35.9732205043331,128.938550862057
2113705840000,영천 용화사 관음보살도,시도유형문화유산,조선후기,1750,276,회화,반실외,35.9793884069301,128.944904955435
2113705850000,영천 용화사 석가설법도,시도유형문화유산,조선후기,1750,276,회화,반실외,35.9793884069301,128.944904955435
2113705860000,영천 용화사 신중도,시도유형문화유산,조선후기,1750,276,회화,반실외,35.9793884069301,128.944904955435
